precinct_id,rate_overvote,Below Poverty,Above Poverty
1101,0.006611570247933884,0.06494876230759959,0.9350512376924004
1102,0.0018957345971563982,0.06488521507603606,0.9351147849239639
1103,0.0029498525073746312,0.06515484853613132,0.9348451514638687
1104,0.009107468123861567,0.06515484853613132,0.9348451514638687
1105,0.009107468123861567,0.06515220608490994,0.93484779391509
1106,0.0012004801920768306,0.10800011591226182,0.8919998840877381
1107,0.0012422360248447205,0.10800109229929,0.89199890770071
1108,0.0,0.10716420664165534,0.8928357933583446
1109,0.002288329519450801,0.10198135198135198,0.8980186480186481
1111,0.0018034265103697023,0.10198135198135198,0.8980186480186481
1112,0.0,0.10017670250471943,0.8998232974952806
1113,0.00477326968973747,0.05026970235894228,0.9497302976410578
1114,0.003770028275212064,0.050325401382475515,0.9496745986175245
1115,0.0040609137055837565,0.10800109229929002,0.8919989077007101
1116,0.004153686396677051,0.10800109229929,0.89199890770071
1117,0.0010976948408342481,0.0745120477390653,0.9254879522609347
1118,0.0,0.06406748746010031,0.9359325125398996
1119,0.001218026796589525,0.09433869372891358,0.9056613062710864
1121,0.00130718954248366,0.06033006429427713,0.939669935705723
1122,0.004398826979472141,0.05026288117770768,0.9497371188222923
1123,0.004044489383215369,0.06823709912446971,0.9317629008755303
1124,0.0011560693641618498,0.06422063260250618,0.9357793673974938
1125,0.0033500837520938024,0.06825888117141553,0.9317411188285845
1126,0.0027447392497712718,0.06696263411024787,0.9330373658897522
1127,0.004835589941972921,0.06693795512802277,0.9330620448719773
1128,0.0031380753138075313,0.05658534687788811,0.9434146531221119
1129,0.004355400696864111,0.11333213464379546,0.8866678653562046
1131,0.004201680672268907,0.113333936815425,0.886666063184575
1132,0.006255585344057194,0.113333936815425,0.8866660631845751
1133,0.0030959752321981426,0.113333936815425,0.886666063184575
1134,0.002372479240806643,0.11333393681542502,0.8866660631845751
1135,0.0,0.113333936815425,0.886666063184575
1136,0.002162162162162162,0.11333393681542499,0.886666063184575
1141,0.0017605633802816902,0.04282757972398595,0.957172420276014
1142,0.0020387359836901123,0.07492494374597293,0.925075056254027
1143,0.0027397260273972603,0.0843701399688958,0.9156298600311042
1144,0.0029585798816568047,0.0843701399688958,0.9156298600311042
1145,0.0,0.0843701399688958,0.9156298600311041
1146,0.0008620689655172414,0.08436983868805126,0.9156301613119489
1147,0.002107481559536354,0.08437013996889581,0.9156298600311042
1148,0.0027447392497712718,0.0843701399688958,0.9156298600311042
1149,0.0,0.08452671922442441,0.9154732807755755
1151,0.0,0.9494949494949495,0.0505050505050505
1152,0.006185567010309278,0.09848230670732848,0.9015176932926715
1153,0.0,0.08653483533201622,0.9134651646679838
1154,0.0,0.113333936815425,0.886666063184575
7001,0.0012690355329949238,0.10673430292922094,0.8932656970707792
7002,0.0,0.08710339996358803,0.912896600036412
7003,0.0,0.06739231125521074,0.9326076887447892
7004,0.0,0.06739231125521075,0.9326076887447893
7005,0.001184834123222749,0.06669283496514679,0.9333071650348533
7006,0.0010775862068965517,0.09888355030341982,0.9011164496965802
7007,0.0,0.06775339735097961,0.9322466026490204
7008,0.0011025358324145535,0.06748058918657626,0.9325194108134237
7009,0.003432494279176201,0.06902360162247449,0.9309763983775255
7011,0.0009606147934678194,0.0679565832940066,0.9320434167059934
