precinct_id,rate_overvote,18 to 29 years,30 to 44 years,45 to 64 years,65 years and over
1101,0.006611570247933884,0.22320512355178268,0.19973360013544775,0.3364550192750213,0.2406062570377482
1102,0.0018957345971563982,0.2228249350956046,0.1999328701260112,0.3366532801793644,0.24058891459901988
1103,0.0029498525073746312,0.22443805982761536,0.1990873753591347,0.335812066925807,0.24066249788744296
1104,0.009107468123861567,0.2244380598276154,0.19908737535913473,0.335812066925807,0.24066249788744298
1105,0.009107468123861567,0.22443716371955624,0.19908996122569952,0.3358118929654876,0.24066098208925665
1106,0.0012004801920768306,0.23142908300843576,0.20275803787597427,0.3246867247101887,0.2411261544054012
1107,0.0012422360248447205,0.23143091206990718,0.2027580557072638,0.32468596395412347,0.24112506826870564
1108,0.0,0.23043980250422097,0.21324891868852341,0.3182548856214453,0.2380563931858104
1109,0.002288329519450801,0.22432079035304373,0.27807642016562545,0.2785122766235653,0.21909051285776554
1111,0.0018034265103697023,0.2243207903530437,0.2780764201656254,0.27851227662356526,0.21909051285776546
1112,0.0,0.22122011922842247,0.27695472056848214,0.2821253596689047,0.21969980053419078
1113,0.00477326968973747,0.13523577724621597,0.24584972581482548,0.3823225622563239,0.23659193468263462
1114,0.003770028275212064,0.1353234294113014,0.24587883926200035,0.38221712772729965,0.23658060359939853
1115,0.0040609137055837565,0.23143091206990715,0.20275805570726382,0.32468596395412347,0.24112506826870564
1116,0.004153686396677051,0.23143091206990715,0.2027580557072638,0.3246859639541234,0.2411250682687056
1117,0.0010976948408342481,0.1996516981705518,0.2746404702710355,0.31072752288246136,0.2149803086759513
1118,0.0,0.189749430523918,0.2970387243735763,0.306378132118451,0.20683371298405465
1119,0.001218026796589525,0.21383189707159894,0.274929210379597,0.2907145069514526,0.22052438559735144
1121,0.00130718954248366,0.14779039290597332,0.23006682906038914,0.37746636808382944,0.24467640994980808
1122,0.004398826979472141,0.1352260778128286,0.24584647739221874,0.38233438485804416,0.23659305993690852
1123,0.004044489383215369,0.19370203703301833,0.2880981980095691,0.3081142425587997,0.21008552239861292
1124,0.0011560693641618498,0.18796853716877676,0.29294847573644545,0.3099670696892841,0.20911591740549354
1125,0.0033500837520938024,0.16321399850527765,0.22845655037666326,0.3639655581476335,0.2443638929704255
1126,0.0027447392497712718,0.15606508875739647,0.21967455621301776,0.3742603550295858,0.25
1127,0.004835589941972921,0.15603430413026084,0.21971321893252335,0.37427228246694894,0.24998019447026687
1128,0.0031380753138075313,0.14311715225819496,0.23593638694990712,0.37927675479120854,0.2416697060006894
1129,0.004355400696864111,0.17262696680287054,0.24954952988269177,0.3351920183380083,0.2426314849764293
1131,0.004201680672268907,0.172627606038821,0.24955068296189792,0.33519051042415526,0.2426312005751258
1132,0.006255585344057194,0.172627606038821,0.24955068296189792,0.33519051042415526,0.2426312005751258
1133,0.0030959752321981426,0.172627606038821,0.2495506829618979,0.33519051042415526,0.24263120057512583
1134,0.002372479240806643,0.172627606038821,0.2495506829618979,0.33519051042415526,0.24263120057512583
1135,0.0,0.172627606038821,0.24955068296189792,0.33519051042415526,0.2426312005751258
1136,0.002162162162162162,0.172627606038821,0.24955068296189795,0.3351905104241553,0.24263120057512583
1141,0.0017605633802816902,0.2168561892960269,0.22096610450099669,0.3343402080288573,0.2278374981741191
1142,0.0020387359836901123,0.19307388729661626,0.25406555663882047,0.3234057868683979,0.22945476919616536
1143,0.0027397260273972603,0.18624186468896625,0.2635840774935674,0.3202663841380354,0.22990767367943088
1144,0.0029585798816568047,0.18624186468896622,0.2635840774935674,0.3202663841380353,0.22990767367943088
1145,0.0,0.1862418646889662,0.2635840774935674,0.3202663841380354,0.22990767367943085
1146,0.0008620689655172414,0.18624142612185302,0.2635839250088456,0.32026691771765,0.22990773115165136
1147,0.002107481559536354,0.18624186468896625,0.26358407749356744,0.3202663841380354,0.2299076736794309
1148,0.0027447392497712718,0.18624186468896622,0.2635840774935674,0.32026638413803543,0.2299076736794309
1149,0.0,0.18620905957579567,0.2635376491273857,0.32020997160697573,0.23004331968984282
1151,0.0,0.0,0.0,0.0,1.0
1152,0.006185567010309278,0.1796760215562737,0.25681609478647055,0.3274639462385696,0.2360439374186861
1153,0.0,0.18524289313611605,0.26255435106575997,0.3213614696652095,0.23084128613291466
1154,0.0,0.172627606038821,0.2495506829618979,0.3351905104241553,0.24263120057512583
7001,0.0012690355329949238,0.18317939758280402,0.3935239013789509,0.27015105441139764,0.15314564662684743
7002,0.0,0.1972244084355677,0.43003745673435695,0.2482380226610505,0.12450011216902472
7003,0.0,0.19013432144511347,0.37517369152385366,0.3158869847151459,0.11880500231588698
7004,0.0,0.19013432144511347,0.3751736915238536,0.31588698471514587,0.11880500231588698
7005,0.001184834123222749,0.19064340350080988,0.37670556147922857,0.31474393269805034,0.11790710232191126
7006,0.0010775862068965517,0.202683107000004,0.36662612957375124,0.28093563222392937,0.14975513120231546
7007,0.0,0.2022457071965709,0.34739279176055965,0.31079408318890434,0.13956741785396506
7008,0.0011025358324145535,0.19309529970663267,0.3683818477189729,0.31464187775408287,0.12388097482031155
7009,0.003432494279176201,0.20995570809692105,0.3321160072180184,0.30672547800779015,0.15120280667727024
7011,0.0009606147934678194,0.2090608777725342,0.3317602642756017,0.3079282680509674,0.15125058990089665
7012,0.0,0.20638252683162178,0.33904541861204895,0.30866270584087,0.1459093487154593
7013,0.0016155088852988692,0.22756948147458292,0.4878191801678272,0.23183307886013121,0.05277825949745861
7014,0.0013568521031207597,0.229686332818274,0.4940786105878854,0.22711804415571024,0.049117012438130436
7015,0.0,0.21024083609087793,0.2515510135679565,0.3223934448186631,0.21581470552250245
7016,0.0029469548133595285,0.1910368342088861,0.2672685750416702,0.3004990425202136,0.2411955482292301
7017,0.0,0.19482757104337717,0.33795624381444644,0.27447108567611955,0.19274509946605686
7018,0.0,0.19867380312553043,0.24272913532598303,0.33779691114900434,0.22080015039948214
7019,0.0,0.20350775474706478,0.24380344977532978,0.3325119582548195,0.2201768372227859
7021,0.0029469548133595285,0.17071333720981208,0.28000473567711043,0.28297238424521454,0.2663095428678629
7022,0.003988035892323031,0.16915716677582918,0.2946639475613373,0.28187862095668054,0.2543002647061531
7023,0.0010121457489878543,0.1857440369275026,0.3254503853136145,0.27726726924104167,0.2115383085178412
