precinct_id,rate_overvote,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate (includes equivalency),"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree
9105,0.0010204081632653062,0.03537463475037029,0.031242538352274377,0.06803814313680656,0.1833856193368216,0.04283771305637264,0.38880627042366606,0.2503150809436883
9106,0.0,0.0323739992607618,0.014748158730090355,0.07032347125823772,0.17823660078334402,0.04442437105493303,0.39262581302920085,0.2672675858834322
9107,0.002173913043478261,0.03709108976609091,0.0383108864341456,0.06723556756710804,0.184086166946103,0.04305111826937354,0.38905672422821796,0.24116844678896104
9108,0.0024009603841536613,0.03237410071942446,0.01474820143884892,0.07032374100719425,0.17823741007194244,0.044424460431654676,0.39262589928057556,0.2672661870503597
9109,0.0,0.03246620329534242,0.015109183592818346,0.07037930902129873,0.17630301161287124,0.045637404913682636,0.39299788325059826,0.26710700431338835
9111,0.0011560693641618498,0.032951295051962176,0.015249727464976754,0.07054167873282764,0.17488258361584622,0.04649033347530274,0.39495451445042307,0.26492986720866135
9112,0.0009950248756218905,0.04391387838493637,0.07506610481839462,0.03343962463184886,0.10617555307796887,0.07007911440102313,0.4717183278623536,0.19960739682347453
9113,0.0,0.04376217603097526,0.07664142497379473,0.031665767065795554,0.10451319977466826,0.07075823097554235,0.47469616310023466,0.19796303807898927
9114,0.003257328990228013,0.045537746536472384,0.07609069008470627,0.0319725368750276,0.1029598708243009,0.07007061515324484,0.4749143734032369,0.1984541671230112
9115,0.0,0.03595165366865297,0.028581373966692934,0.04262783059373542,0.14902998404591214,0.04832388478044963,0.44033632757226004,0.2551489453722969
9116,0.0010416666666666667,0.03400675458310672,0.01790013136426073,0.045375309953296895,0.1584020109240404,0.04347750421052337,0.4327422436981726,0.26809604526659914
9117,0.0011890606420927466,0.049677040516735174,0.026541397533763948,0.11332941867293013,0.19119201409277745,0.07762771579565472,0.3524368761009983,0.18919553728714036
9118,0.0,0.06452891029361937,0.04191368233240524,0.10758664892866902,0.16097604319378153,0.06556297242540798,0.3701339930892604,0.18929774973685642
9119,0.0010193679918450561,0.04967704051673518,0.026541397533763948,0.11332941867293013,0.19119201409277747,0.07762771579565474,0.3524368761009983,0.18919553728714036
9121,0.0,0.07059187402570358,0.04818909456087041,0.10524228386189759,0.14864100804719965,0.06063779447881985,0.37735846920399746,0.1893394758215115
9122,0.0009615384615384616,0.07199211045364892,0.04963839579224195,0.10470085470085472,0.1457922419460881,0.05950032873109797,0.3790269559500329,0.18934911242603553
9123,0.0,0.049667081644022865,0.023622589267665608,0.07911622799407618,0.13642556484523366,0.0690027163258884,0.4380621547639636,0.20410366515914982
9124,0.0010672358591248667,0.04602573807721423,0.019379258137774413,0.07494322482967448,0.13489780469341406,0.07055261165783497,0.44769114307342917,0.2065102195306586
9125,0.0,0.04310749868984315,0.021635975920080805,0.07419600989694457,0.1279947696194089,0.0751745906121517,0.4359248493988397,0.22196630586273125
9126,0.0009624639076034649,0.035610656818781325,0.027433394882616726,0.072276444209971,0.11026114481667108,0.0870482722236877,0.4056977050910051,0.2616723819572672
9127,0.0,0.03572155348891108,0.02739780985360485,0.07219670602735716,0.11030291862556978,0.08687800784003301,0.4058183416757364,0.26168466248878786
9128,0.0012239902080783353,0.07026968729872853,0.016311847195843516,0.047355514678048216,0.12331689945916406,0.03383478568859061,0.4434007944832047,0.26551047119642035
9129,0.0,0.07030636292223096,0.016300078554595445,0.04732914375490967,0.12333071484681854,0.033778476040848396,0.4434406912804399,0.2655145326001571
9131,0.0,0.07030636292223096,0.016300078554595445,0.04732914375490966,0.12333071484681853,0.03377847604084839,0.4434406912804399,0.2655145326001571
9132,0.00681044267877412,0.00887102266788235,0.017869054601727313,0.09182553752892894,0.09215306260026511,0.06188977834806023,0.4256407906131675,0.3017507536399686
9133,0.0037071362372567192,0.03357807678415292,0.023182101561481722,0.08518275738989617,0.12510677973561066,0.04789812443057366,0.41586191825810787,0.269190241840177
9134,0.0010559662090813093,0.029457514007281208,0.0197311739356217,0.10999644729958058,0.20534432573777409,0.030684285335526366,0.3926098279396276,0.2121764257445884
9135,0.002229654403567447,0.0496770395442323,0.026541397014176123,0.11332941645433608,0.19119201034990588,0.07762771942768737,0.3524368795049398,0.18919553770472247
