Tract,Total,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate (includes equivalency),"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree
260.04,2508,374,197,501,472,211,591,162
261,4755,527,210,942,762,442,1302,570
262.01,2784,309,234,608,647,296,541,149
262.02,2624,265,319,602,313,348,596,181
263.01,3994,476,371,889,938,220,920,180
263.02,3701,268,206,651,1118,461,677,320
263.03,3433,365,321,580,729,331,905,202
264.01,2374,328,124,764,403,184,376,195
264.02,4034,331,191,979,839,242,1089,363
264.03,2915,499,146,790,729,135,481,135
264.04,1595,167,197,413,331,97,325,65
301.01,4161,134,75,333,272,97,2106,1144
301.02,3682,16,0,363,339,151,1373,1440
302.01,3107,200,77,311,385,134,1261,739
302.02,3010,169,22,169,359,45,1436,810
303.01,4821,198,103,457,636,112,1916,1399
303.02,3021,80,61,233,388,165,1233,861
304,4166,50,171,243,415,228,1558,1501
305,2885,178,134,361,453,166,746,847
306,1900,26,15,124,176,124,754,681
307,5225,86,179,384,734,233,1735,1874
308,4482,133,139,504,383,153,2098,1072
309,4937,175,94,320,987,429,1751,1181
310,3023,108,140,215,463,319,1054,724
311,4825,175,318,257,468,240,2101,1266
312.01,4741,417,252,939,1121,365,1404,243
312.02,2142,310,156,286,412,116,636,226
313.01,3193,202,80,416,702,374,970,449
313.02,4131,326,222,525,775,245,1405,633
314.01,1472,197,117,278,333,76,302,169
314.02,2918,189,116,669,533,271,773,367
326.01,3656,435,100,261,577,410,1419,454
326.02,3542,220,278,361,460,245,1288,690
327,5526,248,501,506,838,319,2198,916
328.01,3355,279,236,396,433,262,1227,522
328.02,3842,218,112,544,653,318,1455,542
329.01,3917,226,69,623,647,353,1465,534
329.02,3156,227,135,668,415,125,1167,419
330.01,3201,128,175,252,289,287,1643,427
330.02,3244,105,30,474,445,341,1292,557
331,2869,151,54,259,373,286,1103,643
332.01,3764,0,0,1268,1789,113,428,166
332.03,2369,60,69,357,802,178,539,364
332.04,3370,216,61,301,992,99,1292,409
351.01,3380,156,43,221,647,427,1264,622
351.02,3141,253,189,305,549,177,1200,468
352.01,4392,467,83,703,889,248,1303,699
352.02,3770,189,90,729,651,193,1416,502
353,5555,406,272,618,909,513,1829,1008
354,5927,145,514,1188,778,276,2027,999
401,3238,114,58,140,523,138,1402,863
402,4370,193,347,136,445,315,2083,851
426.01,3428,111,51,294,701,175,1370,726
426.02,2132,69,31,97,290,72,813,760
427,4050,165,246,259,780,162,1547,891
428,1741,31,15,55,108,55,662,815
451,3973,35,71,365,366,246,1691,1199
452.01,2745,290,65,135,323,10,1394,528
452.02,2347,68,18,106,305,162,864,824
476,3791,135,104,274,418,330,1538,992
477.01,3887,192,78,259,461,200,1949,748
477.02,2718,112,50,236,430,266,1008,616
478.01,3341,240,104,314,354,168,1445,716
478.02,2743,198,198,323,533,194,861,436
479.02,2755,31,84,166,559,310,948,657
479.03,3359,364,45,530,451,211,1300,458
479.04,2401,28,97,269,618,140,753,496
601,2779,15,32,182,231,49,1379,891
604,1134,0,14,152,154,137,417,260
605.02,2068,178,205,677,517,127,318,46
607.01,4286,150,311,371,456,98,1126,1774
607.02,1145,0,0,331,305,29,427,53
607.03,4057,186,0,200,696,11,1481,1483
610,3244,309,155,554,791,197,881,357
611.01,942,283,227,142,35,41,161,53
611.02,1237,406,126,202,123,50,299,31
612,2732,363,165,730,573,131,517,253
614.01,2448,21,238,283,207,118,1060,521
614.02,1790,0,28,198,236,0,809,519
615.01,1545,0,0,43,139,203,813,347
615.02,1188,0,0,221,131,0,536,300
615.03,2500,0,0,304,283,0,1354,559
615.04,900,0,0,54,117,11,242,476
615.05,586,40,0,0,35,0,268,243
615.06,3210,0,0,49,78,26,1730,1327
615.07,655,0,0,50,251,0,199,155
615.08,1538,37,40,82,333,13,388,645
9802,171,21,12,43,20,2,30,43
9803,19,0,0,0,0,5,10,4
9804.01,0,0,0,0,0,0,0,0
9805.01,99,71,28,0,0,0,0,0
9806,639,40,38,126,164,34,142,95
9809,234,12,20,5,30,18,109,40
9901,0,0,0,0,0,0,0,0
9902,0,0,0,0,0,0,0,0
