Tract,Total,18 to 29 years,30 to 44 years,45 to 64 years,65 years and over
477.01,3887,766,1235,1074,812
477.02,2718,428,598,974,718
478.01,3341,532,974,1090,745
478.02,2743,787,466,896,594
479.02,2755,330,952,755,718
479.03,3359,708,902,913,836
479.04,2401,524,546,711,620
601,2779,697,1197,724,161
604,1134,117,432,257,328
605.02,2068,501,637,716,214
607.01,4286,842,2081,826,537
607.02,1145,86,619,243,197
607.03,4057,1233,1778,748,298
610,3244,627,871,1129,617
611.01,942,28,95,392,427
611.02,1237,241,247,183,566
612,2732,454,779,753,746
614.01,2448,328,858,817,445
614.02,1790,558,548,488,196
615.01,1545,208,480,649,208
615.02,1188,270,407,209,302
615.03,2500,1080,648,694,78
615.04,900,215,447,238,0
615.05,586,0,313,143,130
615.06,3210,723,1829,438,220
615.07,655,429,0,118,108
615.08,1538,340,210,772,216
9802,171,0,12,21,138
9803,19,4,15,0,0
9804.01,0,0,0,0,0
9805.01,99,0,0,0,99
9806,639,164,228,198,49
9809,234,75,88,37,34
9901,0,0,0,0,0
9902,0,0,0,0,0
