,AGE,,,,,,SEX,,,EDUCATIONAL ATTAINMENT,,,,,,,,,,POVERTY STATUS,,,,HOUSEHOLD INCOME (IN 2021 INFLATION-ADJUSTED DOLLARS),,
Tract,,Total,18 to 29 years,30 to 44 years,45 to 64 years,65 years and over,,Male,Female,,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate (includes equivalency),"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,High school degree or higher,Bachelor's degree or higher,,"Total Citizens, 18 years and older, for whom poverty status is determined",Income in the past 12 months below poverty level,Income in the past 12 months at or above the poverty level,,"Median Household Income for Households with a Citizen, Voting-Age Householder",
477.01,,3887,766,1235,1074,812,,1785,2102,,192,78,259,461,200,1949,748,3617,2697,,3887,400,3487,,107102,
477.02,,2718,428,598,974,718,,1270,1448,,112,50,236,430,266,1008,616,2556,1624,,2718,133,2585,,103636,
478.01,,3341,532,974,1090,745,,1689,1652,,240,104,314,354,168,1445,716,2997,2161,,3340,218,3122,,152273,
478.02,,2743,787,466,896,594,,1221,1522,,198,198,323,533,194,861,436,2347,1297,,2743,407,2336,,97105,
479.02,,2755,330,952,755,718,,1487,1268,,31,84,166,559,310,948,657,2640,1605,,2755,137,2618,,138824,
479.03,,3359,708,902,913,836,,1395,1964,,364,45,530,451,211,1300,458,2950,1758,,3359,508,2851,,130288,
479.04,,2401,524,546,711,620,,1025,1376,,28,97,269,618,140,753,496,2276,1249,,2395,404,1991,,79449,
601,,2779,697,1197,724,161,,1152,1627,,15,32,182,231,49,1379,891,2732,2270,,2779,105,2674,,220909,
604,,1134,117,432,257,328,,579,555,,0,14,152,154,137,417,260,1120,677,,1134,39,1095,,74496,
605.02,,2068,501,637,716,214,,995,1073,,178,205,677,517,127,318,46,1685,364,,2068,499,1569,,29500,
607.01,,4286,842,2081,826,537,,1987,2299,,150,311,371,456,98,1126,1774,3825,2900,,4193,373,3820,,169811,
607.02,,1145,86,619,243,197,,547,598,,0,0,331,305,29,427,53,1145,480,,1145,162,983,,88857,
607.03,,4057,1233,1778,748,298,,1914,2143,,186,0,200,696,11,1481,1483,3871,2964,,3848,228,3620,,183233,
610,,3244,627,871,1129,617,,1614,1630,,309,155,554,791,197,881,357,2780,1238,,3244,160,3084,,87375,
611.01,,942,28,95,392,427,,396,546,,283,227,142,35,41,161,53,432,214,,942,328,614,,15612,
611.02,,1237,241,247,183,566,,583,654,,406,126,202,123,50,299,31,705,330,,1237,364,873,,37951,
612,,2732,454,779,753,746,,1356,1376,,363,165,730,573,131,517,253,2204,770,,2732,436,2296,,97714,
614.01,,2448,328,858,817,445,,1194,1254,,21,238,283,207,118,1060,521,2189,1581,,2448,288,2160,,149479,
614.02,,1790,558,548,488,196,,737,1053,,0,28,198,236,0,809,519,1762,1328,,1790,0,1790,,161402,
615.01,,1545,208,480,649,208,,817,728,,0,0,43,139,203,813,347,1545,1160,,1545,203,1342,,250000,
615.02,,1188,270,407,209,302,,549,639,,0,0,221,131,0,536,300,1188,836,,1188,140,1048,,57554,
615.03,,2500,1080,648,694,78,,1642,858,,0,0,304,283,0,1354,559,2500,1913,,2500,598,1902,,250000,
615.04,,900,215,447,238,0,,553,347,,0,0,54,117,11,242,476,900,718,,777,0,777,,250000,
615.05,,586,0,313,143,130,,343,243,,40,0,0,35,0,268,243,546,511,,586,0,586,,250000,
615.06,,3210,723,1829,438,220,,1709,1501,,0,0,49,78,26,1730,1327,3210,3057,,3210,40,3170,,250000,
615.07,,655,429,0,118,108,,278,377,,0,0,50,251,0,199,155,655,354,,655,37,618,,170212,
615.08,,1538,340,210,772,216,,840,698,,37,40,82,333,13,388,645,1461,1033,,1538,169,1369,,155927,
9802,,171,0,12,21,138,,171,0,,21,12,43,20,2,30,43,138,73,,0,0,0,,-,
9803,,19,4,15,0,0,,10,9,,0,0,0,0,5,10,4,19,14,,19,0,19,,148750,
9804.01,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,-,
9805.01,,99,0,0,0,99,,0,99,,71,28,0,0,0,0,0,0,0,,99,94,5,,11316,
9806,,639,164,228,198,49,,307,332,,40,38,126,164,34,142,95,561,237,,639,32,607,,126071,
9809,,234,75,88,37,34,,165,69,,12,20,5,30,18,109,40,202,149,,234,47,187,,74333,
9901,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,-,
9902,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,-,
