1101,605,4
1102,1055,2
1103,1017,3
1104,549,5
1105,549,5
1106,833,1
1107,805,1
1108,957,0
1109,874,2
1111,1109,2
1112,836,0
1113,838,4
1114,1061,4
1115,985,4
1116,963,4
1117,911,1
1118,1117,0
1119,821,1
1121,765,1
1122,682,3
1123,989,4
1124,865,1
1125,1194,4
1126,1093,3
1127,1034,5
1128,956,3
1129,1148,5
1131,952,4
1132,1119,7
1133,969,3
1134,843,2
1135,577,0
1136,925,2
1141,1136,2
1142,981,2
1143,1095,3
1144,1014,3
1145,940,0
1146,1160,1
1147,949,2
1148,1093,3
1149,1000,0
1151,0,0
1152,970,6
1153,1003,0
1154,0,0
7001,788,1
7002,700,0
7003,934,0
7004,991,0
7005,844,1
7006,928,1
7007,1005,0
7008,907,1
7009,874,3
7011,1041,1
7012,1323,0
7013,1238,2
7014,737,1
7015,115,0
7016,1018,3
7017,824,0
7018,1143,0
7019,984,0
7021,1018,3
7022,1003,4
7023,988,1
7024,496,2
7025,505,0
7026,1123,0
7027,935,1
7028,915,1
7029,966,1
7030,872,5
7031,766,1
7032,938,2
7033,801,6
7034,1005,2
7035,836,0
7036,1049,1
7037,773,2
7038,1074,2
7039,934,1
7041,66,0
7042,704,0
7043,1052,5
7044,900,2
7045,850,4
7046,503,2
7047,978,2
7048,939,4
7049,897,1
7051,956,5
7052,986,0
7053,656,1
7054,1204,1
7055,957,0
7056,765,0
7101,175,1
7201,935,0
7202,915,0
7203,821,0
7204,904,0
7205,890,0
7206,406,0
7207,867,1
7208,592,1
7209,641,1
7301,1046,4
7302,847,1
7303,1014,1
7304,962,1
7305,877,0
7306,1043,0
7307,781,0
7308,659,0
7309,857,2
7311,909,0
7312,833,0
7313,1015,1
7314,757,4
7315,793,0
7316,849,1
7317,892,0
7318,727,2
7319,1062,1
7321,648,1
7322,957,5
7323,956,0
7324,725,2
7325,893,0
7326,861,0
7327,719,5
7328,1042,2
7329,685,1
7331,975,0
7332,780,1
7333,970,0
7334,795,0
7335,892,0
7336,965,0
7337,878,0
7338,900,3
7339,812,0
7341,872,2
7342,922,0
7343,716,1
7344,1026,0
7345,1061,0
7346,893,1
7347,1047,0
7348,922,5
7349,899,0
7501,531,0
7502,797,0
7503,785,2
7504,501,0
7505,821,0
7506,1058,1
7507,1013,3
7508,758,0
7509,438,1
7511,438,1
7512,651,2
7513,826,1
7514,1020,5
7515,944,2
7516,908,1
7517,857,0
7518,928,0
7519,699,0
7521,790,0
7522,773,0
7523,723,0
7524,647,0
7525,790,0
7526,981,0
7527,346,1
7528,346,1
7529,869,0
7531,848,0
7532,887,1
7533,950,0
7534,907,1
7535,746,0
7536,861,1
7537,726,0
7538,736,0
7539,907,0
7541,763,0
7542,785,1
7543,953,0
7544,890,1
7545,880,0
7546,979,0
7547,993,1
7548,1066,1
7549,828,0
7551,705,0
7552,692,0
7553,186,0
7554,808,0
7555,901,0
7557,446,1
7557,446,1
7601,685,3
7602,862,1
7603,758,1
7604,959,7
7605,724,6
7606,943,4
7607,917,3
7608,413,4
7609,919,7
7611,891,3
7612,561,2
7613,940,1
7614,937,3
7615,789,5
7616,767,1
7617,805,6
7618,948,1
7619,1199,0
7621,1133,0
7622,995,1
7623,1081,3
7624,908,4
7625,889,8
7626,1127,0
7627,566,0
7628,955,3
7629,890,0
7631,1227,4
7632,1241,0
7633,743,0
7634,889,3
7635,816,0
7636,975,0
7637,897,0
7638,913,0
7639,1031,0
7641,1011,0
7642,735,0
7643,996,2
7644,1217,2
7645,660,1
7646,1275,1
7647,1101,0
7648,4,0
7649,1004,1
7651,1246,1
7652,680,0
7653,925,0
7654,470,0
7655,842,2
7656,676,0
7657,685,0
7701,1079,1
7702,794,0
7703,224,2
7704,1049,0
7705,596,0
7706,887,0
7707,903,0
7708,922,0
7709,433,0
7711,812,0
7712,547,1
7801,1008,0
7802,825,0
7803,843,0
7804,891,1
7805,838,0
7806,740,0
7807,799,0
7808,629,0
7809,764,2
7811,737,1
7812,900,2
7813,1045,0
7814,934,3
7815,904,0
7816,847,0
7817,790,0
7818,800,0
7819,776,5
7821,1005,1
7822,875,0
7823,904,0
7824,767,1
7825,584,0
7826,692,0
7827,819,1
7828,1062,1
7829,887,0
7831,890,0
7832,788,0
7833,718,1
7834,882,3
7835,873,0
7836,1019,0
7837,940,1
7838,909,1
7839,872,0
7841,920,0
7842,864,0
7843,739,2
7844,621,0
7845,886,0
7846,932,1
7847,850,0
7848,882,0
7849,902,0
7851,540,0
7852,643,0
7853,899,0
7854,863,0
7855,989,0
7856,833,0
7857,912,1
7858,781,0
7859,909,0
7861,873,1
7862,867,0
7863,906,0
7864,803,0
7865,830,0
7866,891,0
7867,1013,0
7868,917,0
7869,889,0
7871,909,0
7872,890,0
7873,913,2
7874,510,0
7875,639,2
7876,608,0
7901,550,2
7902,946,6
7903,851,3
7904,821,0
7905,930,0
7906,777,0
7907,928,1
7908,996,5
7909,755,2
7911,880,1
7912,1051,1
7913,886,1
7914,888,2
7915,839,3
7916,825,1
7917,954,3
7918,821,1
7919,888,2
7921,941,2
7922,863,0
7923,883,5
7924,850,0
7925,542,0
7926,801,0
7927,757,0
7928,946,1
7929,854,1
7931,782,0
7932,572,0
7933,7,0
7934,903,0
7935,943,0
7936,895,1
7937,915,1
7938,773,2
7939,714,1
7941,792,0
7942,927,3
7943,926,2
7944,818,0
7945,1010,0
7946,1067,1
7947,1064,0
7948,1005,0
7949,666,0
7951,973,1
7952,971,2
7953,876,1
7954,0,0
7955,1009,1
7956,926,2
7957,710,1
7958,329,0
7959,686,0
9001,310,1
9101,951,2
9102,1063,1
9103,1012,2
9104,1060,1
9105,980,1
9106,1015,0
9107,920,2
9108,833,2
9109,933,0
9111,865,1
9112,1005,1
9113,1051,0
9114,921,3
9115,905,0
9116,960,1
9117,841,1
9118,1045,0
9119,981,1
9121,1030,0
9122,1040,1
9123,882,0
9124,937,1
9125,908,0
9126,1039,1
9127,1026,0
9128,817,1
9129,776,0
9131,766,0
9132,881,6
9133,1079,4
9134,947,1
9135,897,2
9136,1008,0
9137,1058,1
9138,1018,0
9139,1079,0
9141,1010,0
9142,1062,0
9143,976,0
9144,1015,0
9145,927,1
9146,881,1
9147,1007,0
9148,1049,0
9149,1007,2
9151,876,0
9152,583,1
9201,1048,0
9202,1035,0
9203,1027,0
9204,854,0
9205,755,0
9206,988,0
9207,997,2
9208,954,1
9209,797,0
9211,928,2
9212,808,2
9213,930,0
9214,647,0
9215,655,0
9216,856,0
9217,760,0
9218,851,1
9219,806,0
9221,703,0
9222,929,0
9223,677,1
9224,979,1
9225,899,0
9226,889,0
9227,772,0
9228,770,0
9229,612,0
9231,988,1
9232,751,0
9233,840,0
9234,789,1
9235,885,0
9236,663,0
9237,928,0
9238,832,0
9239,871,0
9241,972,0
9242,962,2
9243,593,1
9244,911,1
9245,742,0
9246,982,0
9247,905,0
9248,843,0
9249,919,1
9251,988,1
9252,982,2
9253,762,1
9254,952,0
9255,567,0
9256,482,0
9257,311,0
9258,757,0
9401,1086,1
9402,1059,0
9403,946,0
9404,1010,1
9405,849,0
9406,950,1
9407,942,0
9408,870,0
9409,615,0
9411,1071,0
9412,946,0
9413,989,0
9414,959,2
9415,843,1
9416,1096,0
9417,827,0
9418,875,1
9419,967,2
9421,980,1
9422,1143,0
9423,929,0
9424,1068,1
9425,1046,2
9426,912,1
9427,1082,1
9428,1028,1
9429,977,1
9431,1126,0
9432,1039,2
9433,1003,0
