precinct_id,rate_overvote,18_29,30_44,45_64,65_,<9,9_12,high_school,college,associate,bachelor,grad,median_income,below_poverty
1101,0.0066115702479338,0.2232051235517830,0.1997336001354480,0.3364550192750210,0.2406062570377480,0.1186999287524930,0.0417775709820071,0.1295729112243280,0.1738836712254000,0.0489519596045547,0.3532888526830300,0.1338251055281870,72806.60677905290,0.0649487623075995
1102,0.0018957345971563,0.2228249350956050,0.1999328701260110,0.3366532801793640,0.2405889145990200,0.118665923061859,0.0417878837462398,0.1298690722742040,0.1738247655522110,0.0491421113151146,0.3529454269555210,0.1337648170948500,52263.75896616690,0.064885215076036
1103,0.0029498525073746,0.2244380598276150,0.1990873753591350,0.335812066925807,0.2406624978874430,0.1188102078756130,0.0417441270914314,0.1286124725367580,0.1740747000169000,0.0483353050532364,0.3544025688693590,0.134020618556701,46197.31193622670,0.0651548485361313
1104,0.0091074681238615,0.2244380598276150,0.1990873753591350,0.335812066925807,0.2406624978874430,0.1188102078756130,0.0417441270914314,0.1286124725367580,0.1740747000169000,0.0483353050532364,0.3544025688693600,0.134020618556701,21577.360577133000,0.0651548485361313
1105,0.0091074681238615,0.2244371637195560,0.1990899612257000,0.3358118929654880,0.2406609820892570,0.118808267435545,0.0417486980242167,0.1286205314794700,0.1740774519885730,0.0483377997708429,0.3543937761249100,0.1340134751764420,30174.62214687950,0.0651522060849099
1106,0.0012004801920768,0.2314290830084360,0.2027580378759740,0.3246867247101890,0.2411261544054010,0.0720911100685734,0.041233908716451,0.1284805867530610,0.2016657257637080,0.0845166992986403,0.3242768850667090,0.1477350843328570,29692.558562804800,0.1080001159122620
1107,0.0012422360248447,0.2314309120699070,0.2027580557072640,0.3246859639541230,0.2411250682687060,0.0720917531403604,0.0412342981977061,0.1284817039868920,0.2016657564172580,0.0845166575641725,0.3242763517203710,0.1477334789732390,23824.881329347600,0.10800109229929
1108,0.0,0.2304398025042210,0.2132489186885230,0.3182548856214450,0.2380563931858100,0.0767618897432703,0.0437471774231634,0.1353749732658580,0.2045986955711730,0.0824783015316278,0.3203913073286920,0.1366476551362160,31350.5617148253,0.1071642066416550
1109,0.0022883295194508,0.2243207903530440,0.2780764201656250,0.2785122766235650,0.2190905128577660,0.105622548307424,0.0592764782798198,0.1779747203254390,0.2227226500072640,0.0698823187563562,0.2963823913990990,0.0681388929245968,35017.06029610640,0.1019813519813520
1111,0.0018034265103697,0.2243207903530440,0.2780764201656250,0.2785122766235650,0.2190905128577650,0.1056225483074240,0.0592764782798198,0.1779747203254400,0.2227226500072640,0.0698823187563562,0.2963823913990990,0.0681388929245968,45118.52094326550,0.1019813519813520
1112,0.0,0.2212201192284220,0.2769547205684820,0.2821253596689050,0.2196998005341910,0.1058035700587990,0.0587505535745551,0.1786749707747830,0.2205485868655430,0.0706853067394391,0.2955973172471260,0.0699396947397541,39968.10836818910,0.1001767025047190
1113,0.0047732696897374,0.1352357772462160,0.2458497258148250,0.3823225622563240,0.2365919346826350,0.1108286377316120,0.0441714776877302,0.1981026667111490,0.1602645451440970,0.0929500446430919,0.2738158875268640,0.119866740555456,40404.70315502930,0.0502697023589422
1114,0.003770028275212,0.1353234294113010,0.2458788392620000,0.3822171277273000,0.2365806035993990,0.1108109199449230,0.0442362694501912,0.1980592778139270,0.1603667647972540,0.0929049388030416,0.2738134357386730,0.1198083934519890,28873.713304044200,0.0503254013824755
1115,0.0040609137055837,0.2314309120699070,0.2027580557072640,0.3246859639541230,0.2411250682687060,0.0720917531403604,0.0412342981977061,0.1284817039868920,0.2016657564172580,0.0845166575641725,0.3242763517203710,0.1477334789732390,33736.89346931600,0.10800109229929
1116,0.004153686396677,0.2314309120699070,0.2027580557072640,0.3246859639541230,0.2411250682687060,0.0720917531403604,0.0412342981977061,0.1284817039868920,0.2016657564172580,0.0845166575641725,0.3242763517203710,0.1477334789732390,34047.35291717950,0.10800109229929
1117,0.0010976948408342,0.1996516981705520,0.2746404702710360,0.3107275228824610,0.2149803086759510,0.0841651027615046,0.0502621352751637,0.1949929263614480,0.1983116424327820,0.0803435901941786,0.263738158369767,0.1281864446051560,38481.83682418210,0.0745120477390653
1118,0.0,0.189749430523918,0.2970387243735760,0.306378132118451,0.2068337129840550,0.0879271070615033,0.0530751708428245,0.2157175398633260,0.1972665148063780,0.0790432801822323,0.2448747152619590,0.1220956719817770,62313.37386329860,0.0640674874601003
1119,0.0012180267965895,0.2138318970715990,0.274929210379597,0.2907145069514530,0.2205243855973510,0.1038409642739780,0.0618738911657852,0.1860080654953120,0.2154522368435400,0.0751706913235659,0.2835736044193500,0.0740805464784691,45922.53789727170,0.0943386937289135
1121,0.0013071895424836,0.1477903929059730,0.2300668290603890,0.3774663680838290,0.244676409949808,0.1080020009432520,0.0791889571219734,0.2135633916598580,0.1706602769531260,0.1087079853310040,0.2354874517514870,0.0843899362392996,39967.68933295030,0.0603300642942771
1122,0.0043988269794721,0.1352260778128290,0.2458464773922190,0.3823343848580440,0.2365930599369090,0.1108307045215560,0.0441640378548895,0.1981072555205050,0.1602523659305990,0.0929547844374342,0.2738170347003160,0.1198738170347000,22226.655360477900,0.0502628811777076
1123,0.0040444893832153,0.1937020370330180,0.2880981980095690,0.3081142425588000,0.2100855223986130,0.086425458831616,0.051952314635353,0.2074450668147960,0.1976836897814830,0.0795623142055971,0.2524042802740010,0.1245268754571550,51636.06326288880,0.0682370991244697
